採番,流域平均累加雨量,最大降雨強度（流域平均）,継続時間,台風直接時間,台風間接時間,前線時間,線状降水帯時間,開始,終了,SST,アンサンブル,開始時刻,終了時刻,開始年,開始月,開始日,開始時,終了年,終了月,終了日,終了時,気象場DSOM
36,38.615,2.41,96,0,0,18,0,569687,569878,HPB,7,1983-06-30 11:00:00,1983-07-04 10:30:00,1983,6,30,12,1983,7,4,12,8
37,23.17,2.73,106.5,0,0,30,0,588722,588934,HPB,7,1984-07-31 00:30:00,1984-08-04 10:30:00,1984,7,31,0,1984,8,4,12,8
38,36.815,5.56,47.5,0,34.5,24,0,589297,589391,HPB,7,1984-08-12 00:00:00,1984-08-13 23:00:00,1984,8,12,0,1984,8,14,0,11
39,51.815,4.18,78.5,0,0,24,0,607214,607370,HPB,7,1985-08-20 06:30:00,1985-08-23 12:30:00,1985,8,20,6,1985,8,23,12,2
40,73.615,3.69,79.5,20.5,59,0,0,624845,625003,HPB,7,1986-08-22 14:00:00,1986-08-25 21:00:00,1986,8,22,12,1986,8,26,0,2
41,29.38,3.07,85.5,0,0,0,0,646964,647134,HPB,7,1987-11-26 09:30:00,1987-11-29 22:30:00,1987,11,26,12,1987,11,30,0,8
42,50.995,6.08,47,0,0,12,0,658548,658641,HPB,7,1988-07-24 17:30:00,1988-07-26 16:00:00,1988,7,24,18,1988,7,26,18,12
43,27.2,4.92,13.5,0,0,12,0,679615,679641,HPB,7,1989-10-06 15:00:00,1989-10-07 04:00:00,1989,10,6,18,1989,10,7,6,9
44,29.81,2.92,44.5,1.5,25,12,0,695897,695985,HPB,7,1990-09-10 20:00:00,1990-09-12 16:00:00,1990,9,10,18,1990,9,12,18,9
45,37.835,2.77,77.5,0,0,30,0,696199,696353,HPB,7,1990-09-17 03:00:00,1990-09-20 08:00:00,1990,9,17,6,1990,9,20,6,9
46,56.79,4.18,125,69.5,47.5,12,0,710477,710726,HPB,7,1991-07-11 14:00:00,1991-07-16 18:30:00,1991,7,11,12,1991,7,16,18,7
47,73.65,2.76,136,0,72.5,36,0,730885,731156,HPB,7,1992-09-08 18:00:00,1992-09-14 09:30:00,1992,9,8,18,1992,9,14,12,2
48,23.805,4.24,43,23,20,0,0,747487,747572,HPB,7,1993-08-20 15:00:00,1993-08-22 09:30:00,1993,8,20,18,1993,8,22,12,2
49,24.485,2.44,48,11,26,18,0,766358,766453,HPB,7,1994-09-17 18:30:00,1994-09-19 18:00:00,1994,9,17,18,1994,9,19,18,2
50,29.96,3.28,93,0,0,0,0,786730,786915,HPB,7,1995-11-16 04:30:00,1995-11-20 01:00:00,1995,11,16,6,1995,11,20,0,2
51,29.425,2.16,32,0,0,0,0,802853,802916,HPB,7,1996-10-17 02:00:00,1996-10-18 09:30:00,1996,10,17,0,1996,10,18,12,13
52,39.29,4.28,102.5,0,0,6,0,803269,803473,HPB,7,1996-10-25 18:00:00,1996-10-30 00:00:00,1996,10,25,18,1996,10,30,0,2
53,54.105,4.92,61.5,0,7,12,0,817525,817647,HPB,7,1997-08-18 18:00:00,1997-08-21 07:00:00,1997,8,18,18,1997,8,21,6,8
54,28.675,2.41,61.5,0,0,12,0,837988,838110,HPB,7,1998-10-19 01:30:00,1998-10-21 14:30:00,1998,10,19,0,1998,10,21,12,13
55,40.035,1.82,114.5,0,0,0,0,856285,856513,HPB,7,1999-11-04 06:00:00,1999-11-09 00:00:00,1999,11,4,6,1999,11,9,0,2
56,24.255,1.69,51,0,0,24,0,872894,872995,HPB,7,2000-10-15 06:30:00,2000-10-17 09:00:00,2000,10,15,6,2000,10,17,12,2
57,33.01,2.08,53.5,20,30.5,0,0,873145,873251,HPB,7,2000-10-20 12:00:00,2000-10-22 17:00:00,2000,10,20,12,2000,10,22,18,4
58,35.605,3.46,60,23.5,34,0,0,886733,886852,HPB,7,2001-07-30 14:00:00,2001-08-02 01:30:00,2001,7,30,12,2001,8,2,0,2
59,25.13,1.72,46.5,0,1,0,0,886937,887029,HPB,7,2001-08-03 20:00:00,2001-08-05 18:00:00,2001,8,3,18,2001,8,5,18,2
60,69.08,5.55,51.5,43,20,0,0,887127,887229,HPB,7,2001-08-07 19:00:00,2001-08-09 22:00:00,2001,8,7,18,2001,8,10,0,2
61,29.675,4.22,65.5,13.5,38,54,0,905988,906118,HPB,7,2002-09-04 17:30:00,2002-09-07 10:30:00,2002,9,4,18,2002,9,7,12,2
62,52.87,2.9,54,0,0,36,0,923509,923616,HPB,7,2003-09-04 18:00:00,2003-09-06 23:30:00,2003,9,4,18,2003,9,7,0,2
63,47.305,3.09,157.5,0,0,72,0,940745,941059,HPB,7,2004-08-28 20:00:00,2004-09-04 09:00:00,2004,8,28,18,2004,9,4,12,7
64,40.72,2.03,74.5,0,0,0,0,954959,955107,HPB,7,2005-06-20 23:00:00,2005-06-24 01:00:00,2005,6,21,0,2005,6,24,0,7
65,40.65,2.14,84,0,0,0,0,989534,989701,HPB,7,2007-06-11 06:30:00,2007-06-14 18:00:00,2007,6,11,6,2007,6,14,18,2
66,62.26,5.34,108.5,0,3,0,0,1014073,1014289,HPB,7,2008-11-03 12:00:00,2008-11-08 00:00:00,2008,11,3,12,2008,11,8,0,12
67,35.98,5.23,47.5,0,0,12,0,1028709,1028803,HPB,7,2009-09-04 10:00:00,2009-09-06 09:00:00,2009,9,4,12,2009,9,6,12,12
68,42.805,2.97,48,2.5,34,12,0,1044332,1044427,HPB,7,2010-07-26 21:30:00,2010-07-28 21:00:00,2010,7,27,0,2010,7,29,0,9
1,41.08,2.92,62.5,0,0,18,52,11559,11683,HPB,8,1951-08-29 19:00:00,1951-09-01 09:00:00,1951,8,29,18,1951,9,1,12,8
2,38.145,7.3,52,18,73.5,12,0,11706,11809,HPB,8,1951-09-01 20:30:00,1951-09-04 00:00:00,1951,9,1,18,1951,9,4,0,2
3,61.65,9.62,61,5,35.5,18,0,28282,28403,HPB,8,1952-08-12 04:30:00,1952-08-14 17:00:00,1952,8,12,6,1952,8,14,18,9
4,40.26,3.61,32.5,0,0,24,0,46634,46698,HPB,8,1953-08-29 12:30:00,1953-08-30 20:30:00,1953,8,29,12,1953,8,30,18,2
5,25.82,2.8,51.5,19.5,32,18,0,64098,64200,HPB,8,1954-08-28 08:30:00,1954-08-30 11:30:00,1954,8,28,6,1954,8,30,12,2
6,32.62,3.49,40,0,0,12,0,84539,84618,HPB,8,1955-10-28 05:00:00,1955-10-29 20:30:00,1955,10,28,6,1955,10,29,18,13
7,28.605,4.14,19.5,0,0,6,0,99478,99516,HPB,8,1956-09-03 10:30:00,1956-09-04 05:30:00,1956,9,3,12,1956,9,4,6,13
8,60.565,4.76,33,16,17,18,0,99823,99888,HPB,8,1956-09-10 15:00:00,1956-09-11 23:30:00,1956,9,10,18,1956,9,12,0,13
9,60.44,4.18,50,0,0,30,0,118168,118267,HPB,8,1957-09-27 19:30:00,1957-09-29 21:00:00,1957,9,27,18,1957,9,30,0,8
10,24.205,3.53,22.5,0,0,6,0,134266,134310,HPB,8,1958-08-29 04:30:00,1958-08-30 02:30:00,1958,8,29,6,1958,8,30,0,8
11,41.1,3.76,85,0,0,6,0,148183,148352,HPB,8,1959-06-15 03:00:00,1959-06-18 15:30:00,1959,6,15,6,1959,6,18,18,12
12,24.91,5.57,13.5,0,0,0,0,170137,170163,HPB,8,1960-09-14 12:00:00,1960-09-15 01:00:00,1960,9,14,12,1960,9,15,0,8
13,50.285,5.62,43,0,9.5,0,0,170517,170602,HPB,8,1960-09-22 10:00:00,1960-09-24 04:30:00,1960,9,22,12,1960,9,24,6,2
14,85.795,4.94,87.5,0,22,36,0,186879,187053,HPB,8,1961-08-29 07:00:00,1961-09-01 22:00:00,1961,8,29,6,1961,9,2,0,8
15,31.92,3.4,36.5,0,0,24,0,204844,204916,HPB,8,1962-09-07 13:30:00,1962-09-09 01:30:00,1962,9,7,12,1962,9,9,0,9
16,35.245,2.84,71.5,0,0,42,0,205076,205218,HPB,8,1962-09-12 09:30:00,1962-09-15 08:30:00,1962,9,12,12,1962,9,15,6,8
17,62.715,3.04,56.5,15.5,29,24,0,222266,222378,HPB,8,1963-09-05 12:30:00,1963-09-07 20:30:00,1963,9,5,12,1963,9,7,18,10
18,32.22,2.41,36,0,36,24,0,240013,240084,HPB,8,1964-09-09 06:00:00,1964-09-10 17:30:00,1964,9,9,6,1964,9,10,18,10
19,40.185,1.78,99,0,0,0,0,253522,253719,HPB,8,1965-06-17 16:30:00,1965-06-21 19:00:00,1965,6,17,18,1965,6,21,18,12
20,29.07,2.78,31.5,0,31.5,6,0,274040,274102,HPB,8,1966-08-19 03:30:00,1966-08-20 10:30:00,1966,8,19,6,1966,8,20,12,12
21,35.91,3.01,40,20,20,0,0,274383,274462,HPB,8,1966-08-26 07:00:00,1966-08-27 22:30:00,1966,8,26,6,1966,8,28,0,12
22,109.27,5.28,71.5,11.5,53,36,0,292590,292732,HPB,8,1967-09-09 14:30:00,1967-09-12 13:30:00,1967,9,9,12,1967,9,12,12,12
23,86.315,8.79,58,33.5,24.5,24,0,309288,309403,HPB,8,1968-08-22 11:30:00,1968-08-24 21:00:00,1968,8,22,12,1968,8,25,0,2
24,43.22,1.73,63,0,0,24,0,324545,324670,HPB,8,1969-07-06 08:00:00,1969-07-08 22:30:00,1969,7,6,6,1969,7,9,0,2
25,45.67,4.4,31,0,17.5,12,0,347336,347397,HPB,8,1970-10-24 03:30:00,1970-10-25 10:00:00,1970,10,24,6,1970,10,25,12,8
26,22.905,1.55,49.5,0,0,24,0,362882,362980,HPB,8,1971-09-13 00:30:00,1971-09-15 01:30:00,1971,9,13,0,1971,9,15,0,9
27,55.75,2.36,69.5,0,0,0,0,380320,380458,HPB,8,1972-09-10 07:30:00,1972-09-13 04:30:00,1972,9,10,6,1972,9,13,6,9
28,74.895,5.34,103.5,0,0,24,0,398895,399101,HPB,8,1973-10-02 07:00:00,1973-10-06 14:00:00,1973,10,2,6,1973,10,6,12,9
29,27.855,4.81,69.5,0,0,0,0,418163,418301,HPB,8,1974-11-07 17:00:00,1974-11-10 14:00:00,1974,11,7,18,1974,11,10,12,2
30,33.805,2.99,35,0,33.5,6,0,432890,432959,HPB,8,1975-09-10 12:30:00,1975-09-11 23:00:00,1975,9,10,12,1975,9,12,0,2
31,36.12,4.51,41.5,0,0,18,0,451813,451895,HPB,8,1976-10-08 18:00:00,1976-10-10 11:00:00,1976,10,8,18,1976,10,10,12,2
32,63.4,4.25,81.5,10,31.5,6,0,452279,452441,HPB,8,1976-10-18 11:00:00,1976-10-21 20:00:00,1976,10,18,12,1976,10,21,18,9
33,27.195,3.67,34,0,0,30,0,465289,465356,HPB,8,1977-07-16 12:00:00,1977-07-17 21:30:00,1977,7,16,12,1977,7,18,0,2
34,55.935,4.05,50.5,0,17.5,6,0,482845,482945,HPB,8,1978-07-17 06:00:00,1978-07-19 08:00:00,1978,7,17,6,1978,7,19,6,8
35,20.45,2.56,25,0,0,6,0,503964,504013,HPB,8,1979-09-30 05:30:00,1979-10-01 06:00:00,1979,9,30,6,1979,10,1,6,8
36,31.765,3.99,44.5,0,0,0,0,504172,504260,HPB,8,1979-10-04 13:30:00,1979-10-06 09:30:00,1979,10,4,12,1979,10,6,12,8
37,31.56,5.63,20,0,0,0,0,521948,521987,HPB,8,1980-10-08 21:30:00,1980-10-09 17:00:00,1980,10,9,0,1980,10,9,18,8
38,25.755,2.77,43.5,0,0,6,0,539229,539315,HPB,8,1981-10-03 22:00:00,1981-10-05 17:00:00,1981,10,4,0,1981,10,5,18,11
39,56.55,1.62,182,0,0,6,0,554112,554475,HPB,8,1982-08-09 23:30:00,1982-08-17 13:00:00,1982,8,10,0,1982,8,17,12,2
40,48.46,3.53,89,0,0,36,0,572679,572856,HPB,8,1983-08-31 19:00:00,1983-09-04 11:30:00,1983,8,31,18,1983,9,4,12,2
41,52.185,2.15,114.5,0,11,18,0,591373,591601,HPB,8,1984-09-24 06:00:00,1984-09-29 00:00:00,1984,9,24,6,1984,9,29,0,8
42,34.25,2.71,37,0,37,24,0,607368,607441,HPB,8,1985-08-23 11:30:00,1985-08-25 00:00:00,1985,8,23,12,1985,8,25,0,12
43,35.01,1.59,76.5,0,47,66,0,625615,625767,HPB,8,1986-09-07 15:00:00,1986-09-10 19:00:00,1986,9,7,18,1986,9,10,18,9
44,51.805,4.11,69.5,0,60.5,0,0,625978,626116,HPB,8,1986-09-15 04:30:00,1986-09-18 01:30:00,1986,9,15,6,1986,9,18,0,9
45,34.875,4.21,67,0,0,6,0,645295,645428,HPB,8,1987-10-22 15:00:00,1987-10-25 09:30:00,1987,10,22,18,1987,10,25,12,9
46,24.26,4.32,20.5,0,0,12,0,645465,645505,HPB,8,1987-10-26 04:00:00,1987-10-27 00:00:00,1987,10,26,6,1987,10,27,0,7
47,35.305,3.44,51,0,0,0,0,658587,658688,HPB,8,1988-07-25 13:00:00,1988-07-27 15:30:00,1988,7,25,12,1988,7,27,18,2
48,57.98,3,64.5,0,0,0,0,675908,676036,HPB,8,1989-07-21 09:30:00,1989-07-24 01:30:00,1989,7,21,12,1989,7,24,0,2
49,72.66,3.86,74,0,0,6,0,693241,693388,HPB,8,1990-07-17 12:00:00,1990-07-20 13:30:00,1990,7,17,12,1990,7,20,12,2
50,32.175,2.9,38,0,0,0,0,712729,712804,HPB,8,1991-08-27 12:00:00,1991-08-29 01:30:00,1991,8,27,12,1991,8,29,0,2
51,101.49,8.61,113,0,41,48,0,713127,713352,HPB,8,1991-09-04 19:00:00,1991-09-09 11:30:00,1991,9,4,18,1991,9,9,12,13
52,35.635,4.02,37.5,0,0,30,0,731354,731428,HPB,8,1992-09-18 12:30:00,1992-09-20 01:30:00,1992,9,18,12,1992,9,20,0,2
53,46.19,4.35,23,0,0,18,0,749969,750014,HPB,8,1993-10-11 08:00:00,1993-10-12 06:30:00,1993,10,11,6,1993,10,12,6,8
54,22.06,2.1,24.5,9.5,15,6,0,765342,765390,HPB,8,1994-08-27 14:30:00,1994-08-28 14:30:00,1994,8,27,12,1994,8,28,12,13
55,48.13,5.33,28,0,0,12,0,765532,765587,HPB,8,1994-08-31 13:30:00,1994-09-01 17:00:00,1994,8,31,12,1994,9,1,18,2
56,49.5,4.93,53,34,19,30,0,782863,782968,HPB,8,1995-08-27 15:00:00,1995-08-29 19:30:00,1995,8,27,18,1995,8,29,18,2
57,24.245,1.59,98,0,34,0,0,804146,804341,HPB,8,1996-11-13 00:30:00,1996-11-17 02:00:00,1996,11,13,0,1996,11,17,0,4
58,28.66,3.02,97,0,0,0,0,804641,804834,HPB,8,1996-11-23 08:00:00,1996-11-27 08:30:00,1996,11,23,6,1996,11,27,6,2
59,36.19,2.43,79.5,19,58,0,0,816543,816701,HPB,8,1997-07-29 07:00:00,1997-08-01 14:00:00,1997,7,29,6,1997,8,1,12,2
60,32.205,1.69,103,0,0,18,0,838452,838657,HPB,8,1998-10-28 17:30:00,1998-11-02 00:00:00,1998,10,28,18,1998,11,2,0,2
61,40.515,3.06,72,0,0,0,0,856716,856859,HPB,8,1999-11-13 05:30:00,1999-11-16 05:00:00,1999,11,13,6,1999,11,16,6,2
62,47.84,6.1,65.5,30.5,35,6,0,869724,869854,HPB,8,2000-08-10 05:30:00,2000-08-12 22:30:00,2000,8,10,6,2000,8,13,0,2
63,22.07,1.87,32.5,0,0,0,0,889900,889964,HPB,8,2001-10-04 13:30:00,2001-10-05 21:30:00,2001,10,4,12,2001,10,6,0,7
64,35.43,2.75,42,0,0,12,0,890052,890135,HPB,8,2001-10-07 17:30:00,2001-10-09 11:00:00,2001,10,7,18,2001,10,9,12,7
65,26.045,4.13,30,0,0,0,0,909472,909531,HPB,8,2002-11-16 07:30:00,2002-11-17 13:00:00,2002,11,16,6,2002,11,17,12,2
66,133.51,8.15,93.5,22.5,56.5,12,0,922727,922913,HPB,8,2003-08-19 11:00:00,2003-08-23 08:00:00,2003,8,19,12,2003,8,23,6,12
67,64.04,9.04,90.5,16,41.5,36,0,939977,940157,HPB,8,2004-08-12 20:00:00,2004-08-16 14:00:00,2004,8,12,18,2004,8,16,12,12
68,34.03,3.07,78,0,0,0,0,954672,954827,HPB,8,2005-06-14 23:30:00,2005-06-18 05:00:00,2005,6,15,0,2005,6,18,6,9
69,44.74,3.97,90,0,0,0,0,980215,980394,HPB,8,2006-11-29 03:00:00,2006-12-02 20:30:00,2006,11,29,6,2006,12,2,18,13
70,37.61,3.98,27.5,15,12.5,6,0,994378,994432,HPB,8,2007-09-20 04:30:00,2007-09-21 07:30:00,2007,9,20,6,2007,9,21,6,8
71,69.485,6.68,94.5,0,4,12,0,1013111,1013299,HPB,8,2008-10-14 11:00:00,2008-10-18 09:00:00,2008,10,14,12,2008,10,18,12,8
72,31.1,4.76,81,0,0,18,0,1031003,1031164,HPB,8,2009-10-22 05:00:00,2009-10-25 13:30:00,2009,10,22,6,2009,10,25,12,12
73,31.945,4.58,27,0,0,12,0,1045748,1045801,HPB,8,2010-08-25 09:30:00,2010-08-26 12:00:00,2010,8,25,12,2010,8,26,12,2
1,22.195,3.51,39.5,0,0,12,39.5,12928,13006,HPB,9,1951-09-27 07:30:00,1951-09-28 22:30:00,1951,9,27,6,1951,9,29,0,8
2,41.735,2.81,84.5,27.5,36,0,0,26160,26328,HPB,9,1952-06-28 23:30:00,1952-07-02 11:30:00,1952,6,29,0,1952,7,2,12,2
3,38.645,4.81,38,0,0,30,0,48510,48585,HPB,9,1953-10-07 14:30:00,1953-10-09 04:00:00,1953,10,7,12,1953,10,9,6,9
4,27.225,1.35,52.5,0,0,36,0,67005,67109,HPB,9,1954-10-27 22:00:00,1954-10-30 02:00:00,1954,10,28,0,1954,10,30,0,2
5,57.135,5.48,32,0,0,18,0,81280,81343,HPB,9,1955-08-21 07:30:00,1955-08-22 15:00:00,1955,8,21,6,1955,8,22,18,2
6,28.34,2.61,56,0,0,0,0,101690,101801,HPB,9,1956-10-19 12:30:00,1956-10-21 20:00:00,1956,10,19,12,1956,10,21,18,13
7,51.825,3.75,134,0,0,24,0,115265,115532,HPB,9,1957-07-29 08:00:00,1957-08-03 21:30:00,1957,7,29,6,1957,8,4,0,13
8,68.945,4.72,72,17.5,31,36,0,134812,134955,HPB,9,1958-09-09 13:30:00,1958-09-12 13:00:00,1958,9,9,12,1958,9,12,12,13
9,24.865,2.81,27,0,54,12,0,152442,152495,HPB,9,1959-09-11 20:30:00,1959-09-12 23:00:00,1959,9,11,18,1959,9,13,0,8
10,69.72,3.55,106.5,16,45,30,0,152883,153095,HPB,9,1959-09-21 01:00:00,1959-09-25 11:00:00,1959,9,21,0,1959,9,25,12,8
11,29.83,4.49,16.5,0,0,6,0,168090,168122,HPB,9,1960-08-02 20:30:00,1960-08-03 12:30:00,1960,8,2,18,1960,8,3,12,12
12,27.775,2.05,38.5,0,0,48,0,168375,168451,HPB,9,1960-08-08 19:00:00,1960-08-10 09:00:00,1960,8,8,18,1960,8,10,12,8
13,54.61,7.33,36.5,0,0,42,0,168473,168545,HPB,9,1960-08-10 20:00:00,1960-08-12 08:00:00,1960,8,10,18,1960,8,12,6,2
14,91.94,5.61,45.5,7,54.5,18,0,187048,187138,HPB,9,1961-09-01 19:30:00,1961-09-03 16:30:00,1961,9,1,18,1961,9,3,18,8
15,36.23,2.8,48,31,17,0,0,223555,223650,HPB,9,1963-10-02 09:00:00,1963-10-04 08:30:00,1963,10,2,12,1963,10,4,6,9
16,51.895,2.81,56.5,0,0,0,0,241553,241665,HPB,9,1964-10-11 08:00:00,1964-10-13 16:00:00,1964,10,11,6,1964,10,13,18,8
17,90.98,10.42,65.5,14,31,24,0,256326,256456,HPB,9,1965-08-15 02:30:00,1965-08-17 19:30:00,1965,8,15,0,1965,8,17,18,10
18,23.855,2.16,38,24.5,13.5,6,0,274897,274972,HPB,9,1966-09-06 00:00:00,1966-09-07 13:30:00,1966,9,6,0,1966,9,7,12,10
19,22.295,4.8,16,9.5,4,6,0,292715,292746,HPB,9,1967-09-12 05:00:00,1967-09-12 20:30:00,1967,9,12,6,1967,9,12,18,12
20,28.23,2.71,26,0,0,6,0,311244,311295,HPB,9,1968-10-02 05:30:00,1968-10-03 07:00:00,1968,10,2,6,1968,10,3,6,12
21,39.055,3.69,45.5,21,24.5,0,0,327644,327734,HPB,9,1969-09-08 21:30:00,1969-09-10 18:30:00,1969,9,9,0,1969,9,10,18,12
22,21.19,1.58,41,0,0,12,0,345609,345690,HPB,9,1970-09-18 04:00:00,1970-09-19 20:30:00,1970,9,18,6,1970,9,19,18,12
23,35.715,2.87,97.5,0,0,0,0,365792,365986,HPB,9,1971-11-12 15:30:00,1971-11-16 16:30:00,1971,11,12,18,1971,11,16,18,2
24,36.685,2.88,72,8.5,63.5,0,0,377927,378070,HPB,9,1972-07-22 11:00:00,1972-07-25 10:30:00,1972,7,22,12,1972,7,25,12,2
25,29.71,2.83,43.5,0,0,18,0,398002,398088,HPB,9,1973-09-13 16:30:00,1973-09-15 11:30:00,1973,9,13,18,1973,9,15,12,8
26,34.945,3.09,52,15.5,35.5,24,0,398377,398480,HPB,9,1973-09-21 12:00:00,1973-09-23 15:30:00,1973,9,21,12,1973,9,23,18,9
27,50.73,4.94,61,16.5,39,12,0,416423,416544,HPB,9,1974-10-02 11:00:00,1974-10-04 23:30:00,1974,10,2,12,1974,10,5,0,9
28,37.12,2.58,73.5,0,54.5,42,0,431053,431199,HPB,9,1975-08-03 06:00:00,1975-08-06 07:00:00,1975,8,3,6,1975,8,6,6,9
29,21.14,4.03,32,0,5.5,6,0,447209,447272,HPB,9,1976-07-04 20:00:00,1976-07-06 03:30:00,1976,7,4,18,1976,7,6,6,2
30,53.035,5.27,40.5,31,26,12,0,465146,465226,HPB,9,1977-07-13 12:30:00,1977-07-15 04:30:00,1977,7,13,12,1977,7,15,6,2
31,37.855,2.29,75.5,0,6.5,42,0,484478,484628,HPB,9,1978-08-20 06:30:00,1978-08-23 09:30:00,1978,8,20,6,1978,8,23,12,2
32,20.915,2.38,31,0,0,0,0,501906,501967,HPB,9,1979-08-18 08:30:00,1979-08-19 15:00:00,1979,8,18,6,1979,8,19,18,9
33,43.315,4.91,25,0,0,6,0,502290,502339,HPB,9,1979-08-26 08:30:00,1979-08-27 09:00:00,1979,8,26,6,1979,8,27,12,2
34,26.095,4.05,18,0,0,6,0,502421,502456,HPB,9,1979-08-29 02:00:00,1979-08-29 19:30:00,1979,8,29,0,1979,8,29,18,8
35,56.045,4.66,64.5,0,0,6,0,535030,535158,HPB,9,1981-07-08 10:30:00,1981-07-11 02:30:00,1981,7,8,12,1981,7,11,0,8
36,53.49,3.41,57.5,17,86,24,0,556147,556261,HPB,9,1982-09-21 09:00:00,1982-09-23 18:00:00,1982,9,21,12,1982,9,23,18,8
37,27.57,1.78,64.5,0,0,12,0,571456,571584,HPB,9,1983-08-06 07:30:00,1983-08-08 23:30:00,1983,8,6,6,1983,8,9,0,8
38,22.65,2.53,24.5,0,0,0,0,589598,589646,HPB,9,1984-08-18 06:30:00,1984-08-19 06:30:00,1984,8,18,6,1984,8,19,6,11
39,27.385,2.68,53.5,0,0,6,0,589660,589766,HPB,9,1984-08-19 13:30:00,1984-08-21 18:30:00,1984,8,19,12,1984,8,21,18,2
40,27.465,4.57,80.5,0,0,30,0,610577,610737,HPB,9,1985-10-29 08:00:00,1985-11-01 16:00:00,1985,10,29,6,1985,11,1,18,2
41,41.86,4.51,64.5,0,0,18,0,627505,627633,HPB,9,1986-10-17 00:00:00,1986-10-19 16:00:00,1986,10,17,0,1986,10,19,18,8
42,92.45,7.43,75,39.5,17.5,12,0,640409,640558,HPB,9,1987-07-12 20:00:00,1987-07-15 22:30:00,1987,7,12,18,1987,7,16,0,12
43,55.63,2.18,103,0,0,24,0,677968,678173,HPB,9,1989-09-02 07:30:00,1989-09-06 14:00:00,1989,9,2,6,1989,9,6,12,9
44,35.655,4.1,25,0,0,12,0,694280,694329,HPB,9,1990-08-08 03:30:00,1990-08-09 04:00:00,1990,8,8,6,1990,8,9,6,9
45,65.545,6.1,53.5,36.5,17,18,0,711683,711789,HPB,9,1991-08-05 17:00:00,1991-08-07 22:00:00,1991,8,5,18,1991,8,8,0,9
46,37.085,2.49,57.5,0,0,0,0,730181,730295,HPB,9,1992-08-25 02:00:00,1992-08-27 11:00:00,1992,8,25,0,1992,8,27,12,7
47,43.23,3.92,41,0,0,12,0,730457,730538,HPB,9,1992-08-30 20:00:00,1992-09-01 12:30:00,1992,8,30,18,1992,9,1,12,2
48,55.57,5.53,29.5,17.5,12,12,0,767237,767295,HPB,9,1994-10-06 02:00:00,1994-10-07 07:00:00,1994,10,6,0,1994,10,7,6,2
49,29.09,2.92,37.5,0,0,0,0,779117,779191,HPB,9,1995-06-10 14:00:00,1995-06-12 03:00:00,1995,6,10,12,1995,6,12,6,2
50,35.54,2.33,75,0,63,54,0,800080,800229,HPB,9,1996-08-20 07:30:00,1996-08-23 10:00:00,1996,8,20,6,1996,8,23,12,2
51,40.98,5.25,28.5,16,12.5,6,0,817960,818016,HPB,9,1997-08-27 19:30:00,1997-08-28 23:30:00,1997,8,27,18,1997,8,29,0,13
52,34.17,3.96,49.5,30,19.5,24,0,818070,818168,HPB,9,1997-08-30 02:30:00,1997-09-01 03:30:00,1997,8,30,0,1997,9,1,6,2
53,63.95,3.99,69.5,0,0,42,0,852375,852513,HPB,9,1999-08-14 19:00:00,1999-08-17 16:00:00,1999,8,14,18,1999,8,17,18,8
54,41.08,1.98,51,0,0,48,0,852531,852632,HPB,9,1999-08-18 01:00:00,1999-08-20 03:30:00,1999,8,18,0,1999,8,20,6,13
55,90.825,10.58,38.5,0,0,12,0,870185,870261,HPB,9,2000-08-19 20:00:00,2000-08-21 10:00:00,2000,8,19,18,2000,8,21,12,2
56,40.525,4.28,111,0,0,18,0,885812,886033,HPB,9,2001-07-11 09:30:00,2001-07-16 00:00:00,2001,7,11,12,2001,7,16,0,2
57,75.25,5.61,92,15,45.5,24,0,903316,903499,HPB,9,2002-07-11 01:30:00,2002-07-14 21:00:00,2002,7,11,0,2002,7,15,0,4
58,24.38,1.81,29.5,0,0,0,0,921713,921771,HPB,9,2003-07-29 08:00:00,2003-07-30 13:00:00,2003,7,29,6,2003,7,30,12,2
59,39.115,3.11,84.5,30,54.5,18,0,942386,942554,HPB,9,2004-10-02 00:30:00,2004-10-05 12:30:00,2004,10,2,0,2004,10,5,12,2
60,70.67,4.26,72,0,0,36,0,960965,961108,HPB,9,2005-10-24 02:00:00,2005-10-27 01:30:00,2005,10,24,0,2005,10,27,0,2
61,68.41,5.81,74.5,13,26,12,0,977290,977438,HPB,9,2006-09-29 04:30:00,2006-10-02 06:30:00,2006,9,29,6,2006,10,2,6,2
62,52.265,3.68,73.5,0,0,6,0,995750,995896,HPB,9,2007-10-18 18:30:00,2007-10-21 19:30:00,2007,10,18,18,2007,10,21,18,2
63,76.99,7.4,49,14.5,34.5,24,0,1010970,1011067,HPB,9,2008-08-30 20:30:00,2008-09-01 21:00:00,2008,8,30,18,2008,9,2,0,7
64,28.17,4.6,76,29.5,48,24,0,1028213,1028364,HPB,9,2009-08-25 02:00:00,2009-08-28 05:30:00,2009,8,25,0,2009,8,28,6,7
65,22.585,3.84,89.5,0,0,12,0,1047985,1048163,HPB,9,2010-10-11 00:00:00,2010-10-14 17:00:00,2010,10,11,0,2010,10,14,18,2
1,62.79,4.5,87,23.5,62,0,87,11065,11238,HPB,10,1951-08-19 12:00:00,1951-08-23 02:30:00,1951,8,19,12,1951,8,23,0,8
2,20.52,3.53,18,0,0,6,0,29118,29153,HPB,10,1952-08-29 14:30:00,1952-08-30 08:00:00,1952,8,29,12,1952,8,30,6,2
