x___2,流域平均累加雨量,最大降雨強度,継続時間,台風直接時間,台風間接時間,前線時間,線状降水帯時間,開始,終了,SST,アンサンブル,開始時刻,終了時刻,DynamicCluster,開始年,開始月,開始日,開始時,終了年,終了月,終了日,終了時,rain_time,rain_space
1,101.94,7.86,83,48.5,34.5,18,0,12026,12191,HPB,1,1951-09-08 12:30:00,1951-09-11 23:00:00,NaN,1951,9,8,12,1951,9,12,0,3,8
2,33.39,3.69,32.5,0,0,0,0,28489,28553,HPB,1,1952-08-16 12:00:00,1952-08-17 20:00:00,NaN,1952,8,16,12,1952,8,17,18,3,8
3,39.64,4.14,20.5,0,0,6,0,48795,48835,HPB,1,1953-10-13 13:00:00,1953-10-14 09:00:00,NaN,1953,10,13,12,1953,10,14,12,3,5
4,45.085,2.34,85.5,0,23,36,0,63744,63914,HPB,1,1954-08-20 23:30:00,1954-08-24 12:30:00,NaN,1954,8,21,0,1954,8,24,12,2,1
5,49.405,3.4,59.5,0,0,12,0,64105,64223,HPB,1,1954-08-28 12:00:00,1954-08-30 23:00:00,NaN,1954,8,28,12,1954,8,31,0,2,1
6,35.71,5.5,22.5,0,0,12,0,83921,83965,HPB,1,1955-10-15 08:00:00,1955-10-16 06:00:00,NaN,1955,10,15,6,1955,10,16,6,1,7
7,21.47,1.89,58.5,0,0,18,0,101335,101451,HPB,1,1956-10-12 03:00:00,1956-10-14 13:00:00,NaN,1956,10,12,6,1956,10,14,12,2,8
8,67.35,4.47,53,0,0,12,0,101651,101756,HPB,1,1956-10-18 17:00:00,1956-10-20 21:30:00,NaN,1956,10,18,18,1956,10,21,0,2,8
9,33.255,5.27,17,0,0,0,0,118952,118985,HPB,1,1957-10-14 03:30:00,1957-10-14 20:00:00,NaN,1957,10,14,6,1957,10,14,18,2,10
10,38.55,1.13,150,22,67,0,0,119270,119569,HPB,1,1957-10-20 18:30:00,1957-10-27 00:00:00,NaN,1957,10,20,18,1957,10,27,0,2,10
11,41.78,5.04,39,25,14,18,0,135033,135110,HPB,1,1958-09-14 04:00:00,1958-09-15 18:30:00,NaN,1958,9,14,6,1958,9,15,18,1,9
12,29.705,4.45,38,0,0,0,0,150367,150442,HPB,1,1959-07-30 15:00:00,1959-08-01 04:30:00,NaN,1959,7,30,18,1959,8,1,6,1,7
13,31,1.34,64,0,0,0,0,168688,168815,HPB,1,1960-08-15 07:30:00,1960-08-17 23:00:00,NaN,1960,8,15,6,1960,8,18,0,2,9
14,42.88,3.73,35.5,0,0,18,0,188728,188798,HPB,1,1961-10-06 19:30:00,1961-10-08 06:30:00,NaN,1961,10,6,18,1961,10,8,6,2,1
15,58.535,2.88,71.5,0,0,0,0,224145,224287,HPB,1,1963-10-14 16:00:00,1963-10-17 15:00:00,NaN,1963,10,14,18,1963,10,17,18,2,10
16,32.815,3.47,35.5,23,12.5,6,0,237066,237136,HPB,1,1964-07-09 20:30:00,1964-07-11 07:30:00,NaN,1964,7,9,18,1964,7,11,6,3,8
17,32.57,4.66,24,2,22,0,0,254992,255039,HPB,1,1965-07-18 07:30:00,1965-07-19 07:00:00,NaN,1965,7,18,6,1965,7,19,6,3,6
18,44.43,3.12,103.5,0,0,6,0,276402,276608,HPB,1,1966-10-07 08:30:00,1966-10-11 15:30:00,NaN,1966,10,7,6,1966,10,11,18,2,2
19,24.945,2.86,39,31,8,0,0,294024,294101,HPB,1,1967-10-09 11:30:00,1967-10-11 02:00:00,NaN,1967,10,9,12,1967,10,11,0,2,8
20,23.355,2.91,32.5,0,8,0,0,294118,294182,HPB,1,1967-10-11 10:30:00,1967-10-12 18:30:00,NaN,1967,10,11,12,1967,10,12,18,2,8
21,26.655,3.64,60,0,13,6,0,311484,311603,HPB,1,1968-10-07 05:30:00,1968-10-09 17:00:00,NaN,1968,10,7,6,1968,10,9,18,1,2
22,24.445,2.02,56,0,0,0,0,327942,328053,HPB,1,1969-09-15 02:30:00,1969-09-17 10:00:00,NaN,1969,9,15,0,1969,9,17,12,3,6
23,31.255,2.66,37,18.5,23,0,0,328337,328410,HPB,1,1969-09-23 08:00:00,1969-09-24 20:30:00,NaN,1969,9,23,6,1969,9,24,18,3,6
24,23.17,3.62,37,0,0,12,0,341511,341584,HPB,1,1970-06-24 19:00:00,1970-06-26 07:30:00,NaN,1970,6,24,18,1970,6,26,6,3,6
25,68.205,6.65,37,0,0,6,0,341786,341859,HPB,1,1970-06-30 12:30:00,1970-07-02 01:00:00,NaN,1970,6,30,12,1970,7,2,0,3,6
26,64.195,4.6,83,0,0,0,0,361819,361984,HPB,1,1971-08-21 21:00:00,1971-08-25 07:30:00,NaN,1971,8,22,0,1971,8,25,6,3,9
27,30.6,2.66,51,0,0,0,0,383309,383410,HPB,1,1972-11-11 14:00:00,1972-11-13 16:30:00,NaN,1972,11,11,12,1972,11,13,18,3,8
28,25.745,2.3,92.5,0,0,18,0,399147,399331,HPB,1,1973-10-07 13:00:00,1973-10-11 09:00:00,NaN,1973,10,7,12,1973,10,11,12,1,2
29,26.42,1.53,56.5,0,0,0,0,414363,414475,HPB,1,1974-08-20 13:00:00,1974-08-22 21:00:00,NaN,1974,8,20,12,1974,8,23,0,1,7
30,42.055,4.65,18.5,0.5,18,18,0,414764,414800,HPB,1,1974-08-28 21:30:00,1974-08-29 15:30:00,NaN,1974,8,29,0,1974,8,29,18,1,7
31,46.795,1.99,89,0,0,66,0,429700,429877,HPB,1,1975-07-06 01:30:00,1975-07-09 18:00:00,NaN,1975,7,6,0,1975,7,9,18,2,1
32,27.825,1.67,58.5,0,0,54,0,448761,448877,HPB,1,1976-08-06 04:00:00,1976-08-08 14:00:00,NaN,1976,8,6,6,1976,8,8,12,2,3
33,51.355,3.76,50.5,21,22.5,24,0,468898,468998,HPB,1,1977-09-29 16:30:00,1977-10-01 18:30:00,NaN,1977,9,29,18,1977,10,1,18,3,5
34,43.585,2.25,59.5,0,0,48,0,481991,482109,HPB,1,1978-06-29 11:00:00,1978-07-01 22:00:00,NaN,1978,6,29,12,1978,7,2,0,2,3
35,26.155,2.59,42,0,0,18,0,499907,499990,HPB,1,1979-07-07 17:00:00,1979-07-09 10:30:00,NaN,1979,7,7,18,1979,7,9,12,2,5
36,64.975,4.25,52,0,0,12,0,500365,500468,HPB,1,1979-07-17 06:00:00,1979-07-19 09:30:00,NaN,1979,7,17,6,1979,7,19,12,2,5
37,38.505,4.12,38,0,0,6,0,519749,519824,HPB,1,1980-08-24 02:00:00,1980-08-25 15:30:00,NaN,1980,8,24,0,1980,8,25,18,2,8
38,66.275,4.64,74,0,5.5,30,0,520002,520149,HPB,1,1980-08-29 08:30:00,1980-09-01 10:00:00,NaN,1980,8,29,6,1980,9,1,12,2,8
39,27.175,2.36,67,0,0,24,0,537710,537843,HPB,1,1981-09-02 06:30:00,1981-09-05 01:00:00,NaN,1981,9,2,6,1981,9,5,0,3,7
40,27.035,3.85,26,18.5,7.5,6,0,552620,552671,HPB,1,1982-07-09 21:30:00,1982-07-10 23:00:00,NaN,1982,7,10,0,1982,7,11,0,1,2
41,34.92,3.3,87,0,0,24,0,569518,569691,HPB,1,1983-06-26 22:30:00,1983-06-30 13:00:00,NaN,1983,6,27,0,1983,6,30,12,2,6
42,62.455,1.86,76,0,0,0,0,591569,591720,HPB,1,1984-09-28 08:00:00,1984-10-01 11:30:00,NaN,1984,9,28,6,1984,10,1,12,2,9
43,88.5,4.14,80,26,22.5,30,0,607788,607947,HPB,1,1985-09-01 05:30:00,1985-09-04 13:00:00,NaN,1985,9,1,6,1985,9,4,12,2,8
44,30.265,4.15,45.5,0,0,12,0,626843,626933,HPB,1,1986-10-03 05:00:00,1986-10-05 02:00:00,NaN,1986,10,3,6,1986,10,5,0,3,9
45,48.51,4.7,48.5,24,22,6,0,627246,627342,HPB,1,1986-10-11 14:30:00,1986-10-13 14:30:00,NaN,1986,10,11,12,1986,10,13,12,3,9
46,44.64,2.8,90,0,0,0,0,646070,646249,HPB,1,1987-11-07 18:30:00,1987-11-11 12:00:00,NaN,1987,11,7,18,1987,11,11,12,3,2
47,93.225,3.79,100,0,0,30,0,658707,658906,HPB,1,1988-07-28 01:00:00,1988-08-01 04:30:00,NaN,1988,7,28,0,1988,8,1,6,2,6
48,24.715,5.14,17.5,0,0,12,0,677965,677999,HPB,1,1989-09-02 06:00:00,1989-09-02 23:00:00,NaN,1989,9,2,6,1989,9,3,0,2,7
49,32.155,3.53,42,0,0,18,0,678271,678354,HPB,1,1989-09-08 15:00:00,1989-09-10 08:30:00,NaN,1989,9,8,18,1989,9,10,6,2,7
50,48.855,3.59,77,0,37,30,0,678372,678525,HPB,1,1989-09-10 17:30:00,1989-09-13 22:00:00,NaN,1989,9,10,18,1989,9,14,0,2,7
51,43.705,3.43,49.5,0,0,18,0,697404,697502,HPB,1,1990-10-12 05:30:00,1990-10-14 06:30:00,NaN,1990,10,12,6,1990,10,14,6,3,2
52,56.11,7.84,57,41.5,15.5,6,0,710820,710933,HPB,1,1991-07-18 17:30:00,1991-07-21 02:00:00,NaN,1991,7,18,18,1991,7,21,0,1,6
53,33.43,2.21,58.5,0,0,60,0,730588,730704,HPB,1,1992-09-02 13:30:00,1992-09-04 23:30:00,NaN,1992,9,2,12,1992,9,5,0,2,9
54,47.14,3.14,41,0,0,0,0,749890,749971,HPB,1,1993-10-09 16:30:00,1993-10-11 09:00:00,NaN,1993,10,9,18,1993,10,11,12,3,8
55,44.705,6.33,30.5,0,0,24,0,765524,765584,HPB,1,1994-08-31 09:30:00,1994-09-01 15:30:00,NaN,1994,8,31,12,1994,9,1,18,2,8
56,21.925,3.01,31.5,0,5.5,12,0,765607,765669,HPB,1,1994-09-02 03:00:00,1994-09-03 10:00:00,NaN,1994,9,2,6,1994,9,3,12,2,8
57,32.005,3.28,50.5,23.5,27,12,0,784090,784190,HPB,1,1995-09-22 04:30:00,1995-09-24 06:30:00,NaN,1995,9,22,6,1995,9,24,6,3,9
58,50.08,7.12,93.5,0,0,0,0,799090,799276,HPB,1,1996-07-30 16:30:00,1996-08-03 13:30:00,NaN,1996,7,30,18,1996,8,3,12,1,6
59,27.965,3.13,42,17,25,0,0,816882,816965,HPB,1,1997-08-05 08:30:00,1997-08-07 02:00:00,NaN,1997,8,5,6,1997,8,7,0,1,5
60,34.485,4.07,65,0,22.5,18,0,817194,817323,HPB,1,1997-08-11 20:30:00,1997-08-14 13:00:00,NaN,1997,8,11,18,1997,8,14,12,1,5
61,69.035,6.08,77.5,56.5,21,54,0,834735,834889,HPB,1,1998-08-12 07:00:00,1998-08-15 12:00:00,NaN,1998,8,12,6,1998,8,15,12,2,8
62,49.56,2.46,72,38,29,12,0,870384,870527,HPB,1,2000-08-23 23:30:00,2000-08-26 23:00:00,NaN,2000,8,24,0,2000,8,27,0,2,3
63,26.82,2.24,67,15,41.5,0,0,889988,890121,HPB,1,2001-10-06 09:30:00,2001-10-09 04:00:00,NaN,2001,10,6,12,2001,10,9,6,2,7
64,53.75,3.5,116,0,0,18,0,890266,890497,HPB,1,2001-10-12 04:30:00,2001-10-17 00:00:00,NaN,2001,10,12,6,2001,10,17,0,2,7
65,21.155,4.64,12.5,12.5,0,6,0,903017,903041,HPB,1,2002-07-04 20:00:00,2002-07-05 08:00:00,NaN,2002,7,4,18,2002,7,5,6,1,6
66,66.335,7.96,22,0,0,6,0,923398,923441,HPB,1,2003-09-02 10:30:00,2003-09-03 08:00:00,NaN,2003,9,2,12,2003,9,3,6,1,5
67,57.665,5.34,42.5,17,25.5,6,0,940920,941004,HPB,1,2004-09-01 11:30:00,2004-09-03 05:30:00,NaN,2004,9,1,12,2004,9,3,6,2,5
68,61.94,5.72,63,0,0,36,0,959083,959208,HPB,1,2005-09-14 21:00:00,2005-09-17 11:30:00,NaN,2005,9,15,0,2005,9,17,12,3,8
69,23.77,3.09,73.5,0,0,0,0,979583,979729,HPB,1,2006-11-15 23:00:00,2006-11-19 00:00:00,NaN,2006,11,16,0,2006,11,19,0,1,8
70,43.485,2.32,44.5,0,0,6,0,991768,991856,HPB,1,2007-07-27 19:30:00,2007-07-29 15:30:00,NaN,2007,7,27,18,2007,7,29,18,2,8
71,42.55,4.19,31,0,0,0,0,991906,991967,HPB,1,2007-07-30 16:30:00,2007-07-31 23:00:00,NaN,2007,7,30,18,2007,8,1,0,2,8
72,83.895,5.91,39.5,0,0,18,0,1013350,1013428,HPB,1,2008-10-19 10:30:00,2008-10-21 01:30:00,NaN,2008,10,19,12,2008,10,21,0,3,2
73,85.12,12.4,60,0,28,6,0,1027379,1027498,HPB,1,2009-08-07 17:00:00,2009-08-10 04:30:00,NaN,2009,8,7,18,2009,8,10,6,1,8
74,35.64,3.11,89.5,0,0,0,0,1045106,1045284,HPB,1,2010-08-12 00:30:00,2010-08-15 17:30:00,NaN,2010,8,12,0,2010,8,15,18,2,8
75,32.89,2.01,36,0,0,36,0,1045687,1045758,HPB,1,2010-08-24 03:00:00,2010-08-25 14:30:00,NaN,2010,8,24,6,2010,8,25,12,2,8
1_1,38.485,3.47,34.5,4,17.5,30,7,12127,12195,HPB,2,1951-09-10 15:00:00,1951-09-12 01:00:00,NaN,1951,9,10,18,1951,9,12,0,2,7
2_1,56.925,2.33,69,0,0,0,0,29037,29174,HPB,2,1952-08-27 22:00:00,1952-08-30 18:30:00,NaN,1952,8,28,0,1952,8,30,18,2,9
3_1,39.105,5.34,61,0,32.5,66,0,46993,47114,HPB,2,1953-09-06 00:00:00,1953-09-08 12:30:00,NaN,1953,9,6,0,1953,9,8,12,1,1
4_1,34.28,3.96,22.5,0,7.5,0,0,65411,65455,HPB,2,1954-09-24 17:00:00,1954-09-25 15:00:00,NaN,1954,9,24,18,1954,9,25,18,3,6
5_1,39.38,2,66.5,0,0,6,0,79280,79412,HPB,2,1955-07-10 15:30:00,1955-07-13 09:30:00,NaN,1955,7,10,18,1955,7,13,12,2,3
6_1,22.665,1.78,71.5,0,0,0,0,103497,103639,HPB,2,1956-11-26 04:00:00,1956-11-29 03:00:00,NaN,1956,11,26,6,1956,11,29,6,2,4
7_1,33.315,2.06,48,0,19,0,0,118558,118653,HPB,2,1957-10-05 22:30:00,1957-10-07 22:00:00,NaN,1957,10,6,0,1957,10,8,0,3,6
8_1,31.35,2.83,63,0,0,12,0,136264,136389,HPB,2,1958-10-09 19:30:00,1958-10-12 10:00:00,NaN,1958,10,9,18,1958,10,12,12,2,6
9_1,31.82,2.83,42,10,27,48,0,152345,152428,HPB,2,1959-09-09 20:00:00,1959-09-11 13:30:00,NaN,1959,9,9,18,1959,9,11,12,2,8
10_1,38.505,3.44,58,15,29,12,0,152800,152915,HPB,2,1959-09-19 07:30:00,1959-09-21 17:00:00,NaN,1959,9,19,6,1959,9,21,18,2,8
11_1,50.875,3.45,42,0,0,6,0,168514,168597,HPB,2,1960-08-11 16:30:00,1960-08-13 10:00:00,NaN,1960,8,11,18,1960,8,13,12,2,1
12_1,21.575,1.56,44,0,19.5,12,0,188262,188349,HPB,2,1961-09-27 02:30:00,1961-09-28 22:00:00,NaN,1961,9,27,0,1961,9,29,0,3,5
13_1,27.52,2.6,39.5,22,20,12,0,188394,188472,HPB,2,1961-09-29 20:30:00,1961-10-01 11:30:00,NaN,1961,9,29,18,1961,10,1,12,3,5
14_1,79.685,5.11,53.5,5.5,48,30,0,203327,203433,HPB,2,1962-08-06 23:00:00,1962-08-09 04:00:00,NaN,1962,8,7,0,1962,8,9,6,3,1
15_1,33.705,4.75,22.5,0,0,24,0,222299,222343,HPB,2,1963-09-06 05:00:00,1963-09-07 03:00:00,NaN,1963,9,6,6,1963,9,7,6,2,1
16_1,62.145,4.11,62.5,0,33,18,0,222778,222902,HPB,2,1963-09-16 04:30:00,1963-09-18 18:30:00,NaN,1963,9,16,6,1963,9,18,18,2,1
17_1,31.255,8.05,21.5,0,0,18,0,238974,239016,HPB,2,1964-08-18 14:30:00,1964-08-19 11:30:00,NaN,1964,8,18,12,1964,8,19,12,1,6
18_1,72.76,5.17,45,21.5,23.5,0,0,274540,274629,HPB,2,1966-08-29 13:30:00,1966-08-31 10:00:00,NaN,1966,8,29,12,1966,8,31,12,2,8
19_1,27.53,1.95,68.5,0,0,6,0,292757,292893,HPB,2,1967-09-13 02:00:00,1967-09-15 22:00:00,NaN,1967,9,13,0,1967,9,16,0,1,6
20_1,45.02,5,24.5,0,0,12,0,293134,293182,HPB,2,1967-09-20 22:30:00,1967-09-21 22:30:00,NaN,1967,9,21,0,1967,9,22,0,1,6
21_1,27.215,3.04,89,17.5,57,0,0,312946,313123,HPB,2,1968-11-06 16:30:00,1968-11-10 09:00:00,NaN,1968,11,6,18,1968,11,10,12,3,8
22_1,33.05,3.12,54,0,0,0,0,348263,348370,HPB,2,1970-11-12 11:00:00,1970-11-14 16:30:00,NaN,1970,11,12,12,1970,11,14,18,3,2
23_1,80.25,6.25,145.5,57,47,18,0,361934,362224,HPB,2,1971-08-24 06:30:00,1971-08-30 07:30:00,NaN,1971,8,24,6,1971,8,30,6,3,6
24_1,63.735,3.2,93.5,0,0,12,0,380950,381136,HPB,2,1972-09-23 10:30:00,1972-09-27 07:30:00,NaN,1972,9,23,12,1972,9,27,6,2,8
25_1,25.85,1.16,101,0,0,18,0,415063,415264,HPB,2,1974-09-04 03:00:00,1974-09-08 07:30:00,NaN,1974,9,4,6,1974,9,8,6,2,9
26_1,53.01,2.34,64.5,0,0,0,0,415333,415461,HPB,2,1974-09-09 18:00:00,1974-09-12 10:00:00,NaN,1974,9,9,18,1974,9,12,12,2,9
27_1,21.655,0.95,104.5,0,10.5,0,0,429533,429741,HPB,2,1975-07-02 14:00:00,1975-07-06 22:00:00,NaN,1975,7,2,12,1975,7,7,0,1,6
28_1,22.19,3.8,27.5,0,0,18,0,430098,430152,HPB,2,1975-07-14 08:30:00,1975-07-15 11:30:00,NaN,1975,7,14,6,1975,7,15,12,1,6
29_1,27.655,4.15,29.5,0,0,6,0,451333,451391,HPB,2,1976-09-28 18:00:00,1976-09-29 23:00:00,NaN,1976,9,28,18,1976,9,30,0,3,2
30_1,25.46,3.61,56,0,0,12,0,451462,451573,HPB,2,1976-10-01 10:30:00,1976-10-03 18:00:00,NaN,1976,10,1,12,1976,10,3,18,3,2
31_1,46.455,6.31,37.5,16,21.5,12,0,466489,466563,HPB,2,1977-08-10 12:00:00,1977-08-12 01:00:00,NaN,1977,8,10,12,1977,8,12,0,2,8
32_1,65.665,6.57,46,19,39.5,36,0,466596,466687,HPB,2,1977-08-12 17:30:00,1977-08-14 15:00:00,NaN,1977,8,12,18,1977,8,14,18,2,8
33_1,20.555,1.91,44.5,0,0,12,0,484436,484524,HPB,2,1978-08-19 09:30:00,1978-08-21 05:30:00,NaN,1978,8,19,12,1978,8,21,6,2,6
34_1,57.04,3.72,78.5,20.5,50,6,0,505146,505302,HPB,2,1979-10-24 20:30:00,1979-10-28 02:30:00,NaN,1979,10,24,18,1979,10,28,0,2,9
35_1,31.06,4.82,24,0,0,18,0,519931,519978,HPB,2,1980-08-27 21:00:00,1980-08-28 20:30:00,NaN,1980,8,28,0,1980,8,28,18,1,8
36_1,29.29,3.21,46.5,0,0,0,0,540866,540958,HPB,2,1981-11-07 00:30:00,1981-11-08 22:30:00,NaN,1981,11,7,0,1981,11,9,0,1,8
37_1,33.34,5.22,56,0,0,0,0,541375,541486,HPB,2,1981-11-17 15:00:00,1981-11-19 22:30:00,NaN,1981,11,17,18,1981,11,20,0,1,8
38_1,81.615,3.39,87,11,103.5,6,0,553433,553606,HPB,2,1982-07-26 20:00:00,1982-07-30 10:30:00,NaN,1982,7,26,18,1982,7,30,12,2,6
39_1,50.135,3.61,35.5,0,0.5,12,0,573439,573509,HPB,2,1983-09-16 15:00:00,1983-09-18 02:00:00,NaN,1983,9,16,18,1983,9,18,0,2,5
40_1,120.13,8.79,52.5,0,27.5,30,0,573780,573884,HPB,2,1983-09-23 17:30:00,1983-09-25 21:30:00,NaN,1983,9,23,18,1983,9,26,0,2,5
41_1,25.69,1.9,41,0,0,30,0,589734,589815,HPB,2,1984-08-21 02:30:00,1984-08-22 19:00:00,NaN,1984,8,21,0,1984,8,22,18,2,2
42_1,98.415,5.7,64.5,0,44.5,42,0,590220,590348,HPB,2,1984-08-31 05:30:00,1984-09-02 21:30:00,NaN,1984,8,31,6,1984,9,3,0,2,2
43_1,32.245,2.76,38.5,0,0,12,0,609323,609399,HPB,2,1985-10-03 05:00:00,1985-10-04 19:00:00,NaN,1985,10,3,6,1985,10,4,18,3,2
44_1,68.47,2.98,55,19,36,30,0,624053,624162,HPB,2,1986-08-06 02:00:00,1986-08-08 08:30:00,NaN,1986,8,6,0,1986,8,8,6,2,6
45_1,33.77,1.68,75,0,0,42,0,642789,642938,HPB,2,1987-08-31 10:00:00,1987-09-03 12:30:00,NaN,1987,8,31,12,1987,9,3,12,2,8
46_1,33.205,2.32,39,0,0,0,0,656641,656718,HPB,2,1988-06-15 00:00:00,1988-06-16 14:30:00,NaN,1988,6,15,0,1988,6,16,12,3,6
47_1,21.905,3.59,23.5,0,0,0,0,656889,656935,HPB,2,1988-06-20 04:00:00,1988-06-21 03:00:00,NaN,1988,6,20,6,1988,6,21,6,3,6
48_1,33.545,4.15,32.5,17,15.5,12,0,677513,677577,HPB,2,1989-08-23 20:00:00,1989-08-25 04:00:00,NaN,1989,8,23,18,1989,8,25,6,3,7
49_1,49.505,3.45,33.5,0,0,6,0,677820,677886,HPB,2,1989-08-30 05:30:00,1989-08-31 14:30:00,NaN,1989,8,30,6,1989,8,31,12,3,7
50_1,29.635,1.99,45,0,0,0,0,699609,699698,HPB,2,1990-11-27 04:00:00,1990-11-29 00:30:00,NaN,1990,11,27,6,1990,11,29,0,2,9
51_1,57.765,4.2,46,28.5,17.5,18,0,712243,712334,HPB,2,1991-08-17 09:00:00,1991-08-19 06:30:00,NaN,1991,8,17,12,1991,8,19,6,3,9
52_1,28.205,1.96,73.5,11,18.5,0,0,728895,729041,HPB,2,1992-07-29 07:00:00,1992-08-01 08:00:00,NaN,1992,7,29,6,1992,8,1,6,2,9
53_1,89.08,3.49,112.5,0,0,0,0,745481,745705,HPB,2,1993-07-09 20:00:00,1993-07-14 12:00:00,NaN,1993,7,9,18,1993,7,14,12,2,6
54_1,32.23,4.2,63,0,0,0,0,768542,768667,HPB,2,1994-11-02 06:30:00,1994-11-04 21:00:00,NaN,1994,11,2,6,1994,11,5,0,1,8
55_1,38.17,3.23,87.5,0,0,0,0,787151,787325,HPB,2,1995-11-24 23:00:00,1995-11-28 14:00:00,NaN,1995,11,25,0,1995,11,28,12,3,6
56_1,41.415,2.55,57,0,36,6,0,799632,799745,HPB,2,1996-08-10 23:30:00,1996-08-13 08:00:00,NaN,1996,8,11,0,1996,8,13,6,2,7
57_1,22.225,2.37,29,18,11,0,0,799761,799818,HPB,2,1996-08-13 16:00:00,1996-08-14 20:30:00,NaN,1996,8,13,18,1996,8,14,18,2,7
58_1,20.78,3.28,36.5,0,0,0,0,818012,818084,HPB,2,1997-08-28 21:30:00,1997-08-30 09:30:00,NaN,1997,8,29,0,1997,8,30,12,3,8
59_1,51.405,3.64,57,36.5,20.5,18,0,818416,818529,HPB,2,1997-09-06 07:30:00,1997-09-08 16:00:00,NaN,1997,9,6,6,1997,9,8,18,3,8
60_1,59.335,4.81,77.5,0,0,0,0,839250,839404,HPB,2,1998-11-14 08:30:00,1998-11-17 13:30:00,NaN,1998,11,14,6,1998,11,17,12,3,8
61_1,28.46,3.3,45.5,0,9,0,0,853700,853790,HPB,2,1999-09-11 09:30:00,1999-09-13 06:30:00,NaN,1999,9,11,12,1999,9,13,6,1,8
62_1,64.695,4.42,57.5,28.5,11,0,0,869791,869905,HPB,2,2000-08-11 15:00:00,2000-08-14 00:00:00,NaN,2000,8,11,18,2000,8,14,0,3,5
63_1,23.815,2.64,41.5,0,0,6,0,887443,887525,HPB,2,2001-08-14 09:00:00,2001-08-16 02:00:00,NaN,2001,8,14,12,2001,8,16,0,1,5
64_1,60.8,4.78,30,0,0,18,0,906993,907052,HPB,2,2002-09-25 16:00:00,2002-09-26 21:30:00,NaN,2002,9,25,18,2002,9,27,0,3,6
65_1,25.235,1.88,36,16,20,12,0,907115,907186,HPB,2,2002-09-28 05:00:00,2002-09-29 16:30:00,NaN,2002,9,28,6,2002,9,29,18,3,6
66_1,22.225,1.67,31.5,0,0,0,0,923666,923728,HPB,2,2003-09-08 00:30:00,2003-09-09 07:30:00,NaN,2003,9,8,0,2003,9,9,6,2,7
67_1,26.355,3.08,53,17,35,12,0,923826,923931,HPB,2,2003-09-11 08:30:00,2003-09-13 13:00:00,NaN,2003,9,11,6,2003,9,13,12,2,7
68_1,44.27,2.77,34.5,0,0,24,0,924183,924251,HPB,2,2003-09-18 19:00:00,2003-09-20 05:00:00,NaN,2003,9,18,18,2003,9,20,6,2,7
69_1,23.055,4.3,43,0,0,30,0,941100,941185,HPB,2,2004-09-05 05:30:00,2004-09-07 00:00:00,NaN,2004,9,5,6,2004,9,7,0,2,9
70_1,63.805,5.61,42,12,23,24,0,941294,941377,HPB,2,2004-09-09 06:30:00,2004-09-11 00:00:00,NaN,2004,9,9,6,2004,9,11,0,2,9
71_1,97.435,4.05,76,0,43,12,0,957190,957341,HPB,2,2005-08-06 10:30:00,2005-08-09 14:00:00,NaN,2005,8,6,12,2005,8,9,12,2,9
72_1,24.39,4.07,35,0,0,12,0,977701,977770,HPB,2,2006-10-07 18:00:00,2006-10-09 04:30:00,NaN,2006,10,7,18,2006,10,9,6,1,2
73_1,38.865,4.64,31,0,0,18,0,993989,994050,HPB,2,2007-09-12 02:00:00,2007-09-13 08:30:00,NaN,2007,9,12,0,2007,9,13,6,1,8
74_1,69.715,10.66,47,0,0,12,0,994338,994431,HPB,2,2007-09-19 08:30:00,2007-09-21 07:00:00,NaN,2007,9,19,6,2007,9,21,6,1,8
75_1,46.395,5.45,67,0,0,24,0,1012537,1012670,HPB,2,2008-10-02 12:00:00,2008-10-05 06:30:00,NaN,2008,10,2,12,2008,10,5,6,1,5
76,65.605,3.16,63.5,0,0,0,0,1027418,1027544,HPB,2,2009-08-08 12:30:00,2009-08-11 03:30:00,NaN,2009,8,8,12,2009,8,11,6,2,10
77,55.72,5,38,15.5,19.5,0,0,1048096,1048171,HPB,2,2010-10-13 07:30:00,2010-10-14 21:00:00,NaN,2010,10,13,6,2010,10,15,0,3,5
1_2,57.025,4,30,0,0,6,0,12501,12560,HPB,3,1951-09-18 10:00:00,1951-09-19 15:30:00,NaN,1951,9,18,12,1951,9,19,18,3,6
2_2,20.785,1.25,35,0,0,0,0,12652,12721,HPB,3,1951-09-21 13:30:00,1951-09-23 00:00:00,NaN,1951,9,21,12,1951,9,23,0,3,6
3_2,37.725,2.73,88,0,0,42,0,29251,29426,HPB,3,1952-09-01 09:00:00,1952-09-05 00:30:00,NaN,1952,9,1,12,1952,9,5,0,2,1
4_2,23.15,1.56,56,0,0,12,0,47656,47767,HPB,3,1953-09-19 19:30:00,1953-09-22 03:00:00,NaN,1953,9,19,18,1953,9,22,6,2,7
5_2,87.64,3.03,178,0,42.5,54,0,47790,48145,HPB,3,1953-09-22 14:30:00,1953-09-30 00:00:00,NaN,1953,9,22,12,1953,9,30,0,2,7
6_2,46.36,3.75,67,25,32.5,30,0,64855,64988,HPB,3,1954-09-13 03:00:00,1954-09-15 21:30:00,NaN,1954,9,13,6,1954,9,16,0,1,8
7_2,49.02,4.37,76.5,0,9.5,0,0,82969,83121,HPB,3,1955-09-25 12:00:00,1955-09-28 16:00:00,NaN,1955,9,25,12,1955,9,28,18,3,8
8_2,28.71,2.02,44,26,18,6,0,101131,101218,HPB,3,1956-10-07 21:00:00,1956-10-09 16:30:00,NaN,1956,10,8,0,1956,10,9,18,3,9
